ID_P,Data,Settimana,Squadra_C,Squadra_T,Possesso_C,Possesso_T
1983409,2015-12-12,16,7788,8464,67,33
1983410,2015-12-12,16,8640,9803,68,32
1983411,2015-12-12,16,10217,8525,34,66
1983412,2015-12-13,16,9908,8593,31,69
1983413,2015-12-13,16,6413,10229,55,45
1983414,2015-12-13,16,8674,10235,40,60
1983415,2015-12-13,16,9791,8277,57,43
1983416,2015-12-18,17,8277,8611,62,38
1983417,2015-12-20,17,8525,9803,73,27
1983418,2015-12-19,17,9791,8674,56,44
1983419,2015-12-19,17,8640,6413,57,43
1983420,2015-12-19,17,10229,9908,37,63
1983421,2015-12-20,17,10218,7788,39,61
1983422,2015-12-20,17,10228,10217,64,36
1983423,2015-12-20,17,8464,10235,38,62
1983424,2015-12-20,17,8593,8526,70,30
1983425,2016-01-15,18,8611,9791,42,58
1983426,2016-01-16,18,7788,8277,56,44
1983427,2016-01-16,18,6413,10228,58,42
1983428,2016-01-16,18,9803,10229,58,42
1983429,2016-01-16,18,8526,10218,49,51
1983430,2016-01-17,18,10217,8593,30,70
1983431,2016-01-17,18,10235,8640,65,35
1983432,2016-01-17,18,8674,9908,46,54
1983433,2016-01-17,18,8464,8525,48,52
1983434,2016-01-22,19,8674,8464,54,46
1983435,2016-01-23,19,9791,8526,44,56
1983436,2016-01-23,19,8593,8277,52,48
1983437,2016-01-23,19,10218,9803,44,56
1983438,2016-01-23,19,10228,8525,49,51
1983439,2016-01-24,19,10229,10235,49,51
1983440,2016-01-24,19,9908,6413,65,35
1983441,2016-01-24,19,8640,8611,62,38
1983442,2016-01-24,19,10217,7788,41,59
1983443,2016-01-26,20,8525,8674,54,46
1983444,2016-01-26,20,8593,9791,66,34
1983445,2016-01-27,20,10229,7788,37,63
1983446,2016-01-27,20,8464,8611,57,43
1983447,2016-01-27,20,8526,10217,71,29
1983448,2016-01-27,20,10218,8640,46,54
1983449,2016-01-27,20,8277,6413,79,21
1983450,2016-01-28,20,9803,9908,48,52
1983451,2016-01-28,20,10235,10228,70,30
1983452,2016-01-29,21,8525,9791,72,28
1983453,2016-01-30,21,8277,10218,65,35
1983454,2016-01-30,21,6413,8674,52,48
1983455,2016-01-30,21,8640,8526,78,22
1983456,2016-01-30,21,8464,10229,44,56
1983457,2016-01-31,21,9803,8593,52,48
1983458,2016-01-31,21,7788,10228,57,43
1983459,2016-01-31,21,10235,10217,60,40
1983460,2016-01-31,21,8611,9908,46,54
1983461,2016-02-05,22,10218,8525,41,59
1983462,2016-02-06,22,10217,9803,62,38
1983463,2016-02-06,22,10228,8611,65,35
1983464,2016-02-06,22,10229,8277,34,66
1983465,2016-02-06,22,9791,6413,66,34
1983466,2016-02-07,22,8593,10235,68,32
1983467,2016-02-07,22,8526,8464,40,60
1983468,2016-02-07,22,8674,7788,60,40
1983469,2016-02-07,22,9908,8640,57,43
1983470,2016-02-12,23,7788,9908,43,57
1983471,2016-02-13,23,9791,10229,57,43
1983472,2016-02-13,23,8525,8526,65,35
1983473,2016-02-13,23,9803,8611,48,52
1983474,2016-02-13,23,8277,10228,61,39
1983475,2016-02-14,23,8674,8593,67,33
1983476,2016-02-14,23,6413,10235,42,58
1983477,2016-02-14,23,10218,10217,32,68
1983478,2016-02-14,23,8464,8640,48,52
1983479,2016-02-19,24,10217,6413,58,42
1983480,2016-02-20,24,10229,8674,62,38
1983481,2016-02-20,24,10228,8464,62,38
1983482,2016-02-20,24,8640,9791,65,35
1983483,2016-02-20,24,8611,7788,44,56
1983484,2016-02-21,24,10235,9803,62,38
1983485,2016-02-21,24,9908,8525,53,47
1983486,2016-02-21,24,8593,10218,75,25
1983487,2016-02-21,24,8526,8277,36,64
1983488,2016-02-26,25,10218,8464,53,47
1983489,2016-02-27,25,8611,8674,43,57
1983490,2016-02-27,25,7788,6413,77,23
1983491,2016-02-27,25,8640,10217,65,35
1983492,2016-02-27,25,8277,8525,62,38
1983493,2016-02-28,25,9791,9803,51,49
1983494,2016-02-28,25,8526,10228,57,43
1983495,2016-02-28,25,9908,10235,42,58
1983496,2016-02-28,25,8593,10229,56,44
1983497,2016-03-04,26,10217,8611,42,58
1983498,2016-03-05,26,6413,8526,55,45
1983499,2016-03-06,26,10229,10218,72,28
1983500,2016-03-05,26,8674,8640,50,50
1983501,2016-03-05,26,10228,9908,53,47
1983502,2016-03-06,26,8464,9791,63,37
1983503,2016-03-06,26,8525,8593,45,55
1983504,2016-03-06,26,9803,8277,41,59
1983505,2016-03-06,26,10235,7788,56,44
1983506,2016-03-11,27,8526,9803,52,48
1983507,2016-03-12,27,8525,10229,55,45
1983508,2016-03-12,27,8640,10228,55,45
1983509,2016-03-12,27,8611,6413,53,47
1983510,2016-03-12,27,10218,8674,46,54
1983511,2016-03-13,27,9908,10217,50,50
1983512,2016-03-13,27,9791,7788,56,44
1983513,2016-03-13,27,8277,10235,53,47
1983514,2016-03-13,27,8593,8464,61,39
1983515,2016-03-18,28,9908,10218,62,38
1983516,2016-03-19,28,10228,9791,41,59
1983517,2016-03-19,28,10235,8526,49,51
1983518,2016-03-19,28,6413,8525,58,42
1983519,2016-03-19,28,7788,9803,55,45
1983520,2016-03-20,28,8611,10229,45,55
1983521,2016-03-20,28,8674,8277,53,47
1983522,2016-03-20,28,10217,8464,63,37
1983523,2016-03-20,28,8640,8593,58,42
1983524,2016-04-02,29,9791,9908,43,57
1983525,2016-04-02,29,8526,7788,60,40
1983526,2016-04-02,29,10229,8640,37,63
1983527,2016-04-02,29,10235,10218,62,38
1983528,2016-04-02,29,8525,8611,50,50
1983529,2016-04-03,29,8464,8277,43,57
1983530,2016-04-03,29,9803,10228,52,48
1983531,2016-04-03,29,10217,8674,42,58
1983532,2016-04-03,29,8593,6413,63,37
1983533,2016-04-08,30,6413,9803,60,40
1983534,2016-04-09,30,10218,9791,56,44
1983535,2016-04-09,30,7788,8593,52,48
1983536,2016-04-09,30,8277,10217,71,29
1983537,2016-04-09,30,8640,8525,60,40
1983538,2016-04-10,30,10228,10229,53,47
1983539,2016-04-10,30,9908,8464,52,48
1983540,2016-04-10,30,8674,8526,62,38
1983541,2016-04-10,30,8611,10235,39,61
1983542,2016-04-15,31,8526,8611,51,49
1983543,2016-04-16,31,8277,9791,63,37
1983544,2016-04-16,31,10235,8674,54,46
1983545,2016-04-16,31,10229,6413,54,46
1983546,2016-04-16,31,9803,8640,39,61
1983547,2016-04-17,31,8593,9908,68,32
1983548,2016-04-17,31,8525,10217,52,48
1983549,2016-04-17,31,8464,7788,54,46
1983550,2016-04-17,31,10218,10228,48,52
1983551,2016-04-19,32,8674,9803,70,30
1983552,2016-04-19,32,8640,8277,48,52
1983553,2016-04-20,32,8611,10218,66,34
1983554,2016-04-21,32,10217,10229,50,50
1983555,2016-04-20,32,6413,8464,59,41
1983556,2016-04-20,32,10228,8593,50,50
1983557,2016-04-20,32,9908,8526,64,36
1983558,2016-04-21,32,7788,8525,49,51
1983559,2016-04-20,32,9791,10235,41,59
1983560,2016-05-01,33,10228,8674,54,46
1983561,2016-05-01,33,10229,8526,66,34
1983562,2016-05-01,33,8525,10235,47,53
1983563,2016-05-01,33,8593,8611,64,36
1983564,2016-05-01,33,8640,7788,70,30
1983565,2016-05-01,33,10218,6413,38,62
1983566,2016-05-01,33,9791,10217,50,50
1983567,2016-05-01,33,8277,9908,71,29
1983568,2016-05-01,33,8464,9803,53,47
1983569,2016-05-08,34,7788,10218,68,32
1983570,2016-05-08,34,9908,10229,66,34
1983571,2016-05-08,34,10235,8464,72,28
1983572,2016-05-08,34,6413,8640,42,58
1983573,2016-05-08,34,8526,8593,48,52
1983574,2016-05-08,34,9803,8525,43,57
1983575,2016-05-08,34,8674,9791,55,45
1983576,2016-05-08,34,10217,10228,58,42
1983577,2016-05-08,34,8611,8277,47,53
1987032,2015-08-09,1,9825,8654,56,44
1987033,2015-08-08,1,8678,10252,58,42
1987034,2015-08-08,1,8455,10003,54,46
1987035,2015-08-08,1,8668,9817,65,35
1987036,2015-08-08,1,8197,8472,46,54
1987037,2015-08-08,1,10260,8586,46,54
1987038,2015-08-09,1,10261,8466,52,48
1987039,2015-08-08,1,9850,9826,77,23
